respondent_id,nps,satisfaction,feedback_text,topic_id
R001031,5,6.32,offline availability is not always convenient,5
R001032,8,8.64,stockouts make me switch to other brands,3
R001033,7,9.54,the product quality is stable and trustworthy,0
R001034,9,9.77,delivery speed affects whether I choose the brand,5
R001035,10,9.03,sustainability claims need to be more credible,5
R001036,10,7.63,I prefer brands with recyclable packaging,5
R001037,7,8.23,discount bundles make me more willing to buy,3
R001038,7,8.3,sustainability claims need to be more credible,5
R001039,8,8.49,the price feels high without promotion,4
R001040,9,9.21,offline availability is not always convenient,5
R001041,8,8.75,livestream promotion helps me discover new products,4
R001042,10,10.0,livestream promotion helps me discover new products,4
R001043,9,9.27,delivery speed affects whether I choose the brand,5
R001044,9,10.0,the packaging is convenient but could look more premium,5
R001045,5,6.95,discount bundles make me more willing to buy,3
R001046,10,10.0,the packaging is convenient but could look more premium,5
R001047,8,8.18,stockouts make me switch to other brands,3
R001048,8,6.65,portable packaging is useful for work and travel,5
R001049,9,10.0,low carbon packaging would improve brand impression,5
R001050,10,9.55,the package design should show product benefits more clearly,2
R001051,6,6.53,delivery speed affects whether I choose the brand,5
R001052,10,10.0,the price feels high without promotion,4
R001053,8,8.44,quality improvement would make me repurchase more often,0
R001054,8,9.69,offline availability is not always convenient,5
R001055,10,10.0,I care about ingredients and product safety,2
R001056,8,9.29,portable packaging is useful for work and travel,5
R001057,3,7.39,delivery speed affects whether I choose the brand,5
R001058,9,7.48,discount bundles make me more willing to buy,3
R001059,7,6.74,low carbon packaging would improve brand impression,5
R001060,7,8.22,the packaging is convenient but could look more premium,5
R001061,9,10.0,I prefer brands with recyclable packaging,5
R001062,10,10.0,I prefer brands with recyclable packaging,5
R001063,10,10.0,stockouts make me switch to other brands,3
R001064,10,10.0,delivery speed affects whether I choose the brand,5
R001065,8,8.03,I care about ingredients and product safety,2
R001066,10,9.0,delivery speed affects whether I choose the brand,5
R001067,7,7.75,stockouts make me switch to other brands,3
R001068,6,6.83,I compare price across platforms before purchase,1
R001069,6,7.3,I compare price across platforms before purchase,1
R001070,6,7.74,delivery speed affects whether I choose the brand,5
R001071,6,6.49,I prefer brands with recyclable packaging,5
R001072,5,8.08,sustainability claims need to be more credible,5
R001073,4,5.2,portable packaging is useful for work and travel,5
R001074,9,9.68,membership coupons can increase repeat purchase,1
R001075,10,10.0,the product quality is stable and trustworthy,0
R001076,10,9.35,I compare price across platforms before purchase,1
R001077,9,8.94,the product quality is stable and trustworthy,0
R001078,4,5.39,I compare price across platforms before purchase,1
R001079,8,7.17,portable packaging is useful for work and travel,5
R001080,9,10.0,sustainability claims need to be more credible,5
R001081,7,7.25,livestream promotion helps me discover new products,4
R001082,6,7.06,the packaging is convenient but could look more premium,5
R001083,8,7.56,delivery speed affects whether I choose the brand,5
R001084,10,10.0,discount bundles make me more willing to buy,3
R001085,3,5.61,I compare price across platforms before purchase,1
R001086,10,8.7,offline availability is not always convenient,5
R001087,10,9.88,the price feels high without promotion,4
R001088,7,9.31,quality improvement would make me repurchase more often,0
R001089,5,7.58,the price feels high without promotion,4
R001090,6,7.72,sustainability claims need to be more credible,5
R001091,8,8.62,livestream promotion helps me discover new products,4
R001092,10,10.0,the price feels high without promotion,4
R001093,8,8.7,livestream promotion helps me discover new products,4
R001094,9,9.2,membership coupons can increase repeat purchase,1
R001095,6,6.86,discount bundles make me more willing to buy,3
R001096,10,10.0,the product quality is stable and trustworthy,0
R001097,8,8.04,the product quality is stable and trustworthy,0
R001098,9,8.87,the package design should show product benefits more clearly,2
R001099,9,8.82,the price feels high without promotion,4
R001100,8,8.26,discount bundles make me more willing to buy,3
R001101,7,7.82,stockouts make me switch to other brands,3
R001102,10,8.51,discount bundles make me more willing to buy,3
R001103,9,9.44,KOL reviews are useful but need to be authentic,5
R001104,6,6.68,KOL reviews are useful but need to be authentic,5
R001105,8,8.0,I prefer brands with recyclable packaging,5
R001106,10,10.0,offline availability is not always convenient,5
R001107,10,10.0,quality improvement would make me repurchase more often,0
R001108,7,6.07,the package design should show product benefits more clearly,2
R001109,7,8.01,the package design should show product benefits more clearly,2
R001110,5,6.16,the price feels high without promotion,4
R001111,6,6.8,I compare price across platforms before purchase,1
R001112,5,7.26,I compare price across platforms before purchase,1
R001113,7,6.05,KOL reviews are useful but need to be authentic,5
R001114,8,7.31,KOL reviews are useful but need to be authentic,5
R001115,10,8.2,the packaging is convenient but could look more premium,5
R001116,9,10.0,sustainability claims need to be more credible,5
R001117,6,8.06,I care about ingredients and product safety,2
R001118,7,10.0,discount bundles make me more willing to buy,3
R001119,10,10.0,the packaging is convenient but could look more premium,5
R001120,6,6.37,I prefer brands with recyclable packaging,5
R001121,9,9.91,the product quality is stable and trustworthy,0
R001122,7,6.33,the packaging is convenient but could look more premium,5
R001123,8,10.0,KOL reviews are useful but need to be authentic,5
R001124,10,8.27,offline availability is not always convenient,5
R001125,8,7.79,membership coupons can increase repeat purchase,1
R001126,6,6.9,the product quality is stable and trustworthy,0
R001127,7,9.01,portable packaging is useful for work and travel,5
R001128,9,8.23,livestream promotion helps me discover new products,4
R001129,10,9.37,offline availability is not always convenient,5
R001130,9,8.5,I care about ingredients and product safety,2
R001131,8,9.71,I compare price across platforms before purchase,1
R001132,5,6.12,livestream promotion helps me discover new products,4
R001133,10,10.0,the package design should show product benefits more clearly,2
R001134,10,10.0,low carbon packaging would improve brand impression,5
R001135,9,8.35,discount bundles make me more willing to buy,3
R001136,8,7.15,stockouts make me switch to other brands,3
R001137,7,7.49,discount bundles make me more willing to buy,3
R001138,9,8.4,the packaging is convenient but could look more premium,5
R001139,7,8.24,portable packaging is useful for work and travel,5
R001140,10,10.0,portable packaging is useful for work and travel,5
R001141,9,8.43,the price feels high without promotion,4
R001142,8,8.07,the product quality is stable and trustworthy,0
R001143,8,7.61,the packaging is convenient but could look more premium,5
R001144,5,6.03,the package design should show product benefits more clearly,2
R001145,7,9.19,I prefer brands with recyclable packaging,5
R001146,9,9.42,portable packaging is useful for work and travel,5
R001147,9,8.39,the product quality is stable and trustworthy,0
R001148,10,9.88,the price feels high without promotion,4
R001149,7,8.35,low carbon packaging would improve brand impression,5
R001150,8,9.16,KOL reviews are useful but need to be authentic,5
R001151,10,9.95,KOL reviews are useful but need to be authentic,5
R001152,6,6.15,stockouts make me switch to other brands,3
R001153,9,10.0,quality improvement would make me repurchase more often,0
R001154,7,7.46,delivery speed affects whether I choose the brand,5
R001155,8,9.49,sustainability claims need to be more credible,5
R001156,8,7.56,I compare price across platforms before purchase,1
R001157,8,7.73,I care about ingredients and product safety,2
R001158,9,10.0,delivery speed affects whether I choose the brand,5
R001159,7,6.38,discount bundles make me more willing to buy,3
R001160,10,8.99,I care about ingredients and product safety,2
R001161,9,8.56,the product quality is stable and trustworthy,0
R001162,8,7.21,I compare price across platforms before purchase,1
R001163,8,6.43,membership coupons can increase repeat purchase,1
R001164,7,6.23,portable packaging is useful for work and travel,5
R001165,5,5.12,I care about ingredients and product safety,2
R001166,9,7.21,I compare price across platforms before purchase,1
R001167,10,9.04,the price feels high without promotion,4
R001168,8,6.89,the product quality is stable and trustworthy,0
R001169,6,6.12,the product quality is stable and trustworthy,0
R001170,10,10.0,I care about ingredients and product safety,2
R001171,10,9.77,delivery speed affects whether I choose the brand,5
R001172,7,7.79,I compare price across platforms before purchase,1
R001173,10,10.0,I prefer brands with recyclable packaging,5
R001174,10,9.88,I care about ingredients and product safety,2
R001175,8,9.34,quality improvement would make me repurchase more often,0
R001176,7,7.17,delivery speed affects whether I choose the brand,5
R001177,9,9.52,portable packaging is useful for work and travel,5
R001178,10,9.64,discount bundles make me more willing to buy,3
R001179,7,7.49,livestream promotion helps me discover new products,4
R001180,7,7.86,low carbon packaging would improve brand impression,5
R001181,3,4.08,I care about ingredients and product safety,2
R001182,9,10.0,the packaging is convenient but could look more premium,5
R001183,7,7.93,the packaging is convenient but could look more premium,5
R001184,8,10.0,offline availability is not always convenient,5
R001185,10,8.1,quality improvement would make me repurchase more often,0
R001186,10,9.12,quality improvement would make me repurchase more often,0
R001187,8,6.06,I prefer brands with recyclable packaging,5
R001188,6,6.74,sustainability claims need to be more credible,5
R001189,10,9.0,KOL reviews are useful but need to be authentic,5
R001190,10,8.18,I care about ingredients and product safety,2
R001191,9,9.63,discount bundles make me more willing to buy,3
R001192,9,8.82,discount bundles make me more willing to buy,3
R001193,10,9.95,I prefer brands with recyclable packaging,5
R001194,10,7.85,stockouts make me switch to other brands,3
R001195,4,6.57,stockouts make me switch to other brands,3
R001196,5,6.33,discount bundles make me more willing to buy,3
R001197,10,10.0,quality improvement would make me repurchase more often,0
R001198,8,8.9,sustainability claims need to be more credible,5
R001199,7,6.82,membership coupons can increase repeat purchase,1
R001200,8,7.45,portable packaging is useful for work and travel,5
R001201,7,8.84,the packaging is convenient but could look more premium,5
R001202,8,9.13,the price feels high without promotion,4
R001203,8,7.66,livestream promotion helps me discover new products,4
R001204,7,8.8,portable packaging is useful for work and travel,5
R001205,3,5.99,membership coupons can increase repeat purchase,1
R001206,5,6.24,I compare price across platforms before purchase,1
R001207,6,5.42,delivery speed affects whether I choose the brand,5
R001208,10,10.0,the price feels high without promotion,4
R001209,8,9.27,quality improvement would make me repurchase more often,0
R001210,10,10.0,offline availability is not always convenient,5
R001211,8,7.36,delivery speed affects whether I choose the brand,5
R001212,9,8.49,portable packaging is useful for work and travel,5
R001213,9,9.61,delivery speed affects whether I choose the brand,5
R001214,10,9.7,the packaging is convenient but could look more premium,5
R001215,7,5.95,membership coupons can increase repeat purchase,1
R001216,8,9.83,the product quality is stable and trustworthy,0
R001217,8,8.42,sustainability claims need to be more credible,5
R001218,9,8.63,the product quality is stable and trustworthy,0
R001219,9,7.83,delivery speed affects whether I choose the brand,5
R001220,8,9.25,I care about ingredients and product safety,2
R001221,10,8.47,the product quality is stable and trustworthy,0
R001222,9,8.43,livestream promotion helps me discover new products,4
R001223,10,10.0,I prefer brands with recyclable packaging,5
R001224,10,10.0,the product quality is stable and trustworthy,0
R001225,8,10.0,the packaging is convenient but could look more premium,5
R001226,6,6.72,I care about ingredients and product safety,2
R001227,9,10.0,membership coupons can increase repeat purchase,1
R001228,8,7.23,quality improvement would make me repurchase more often,0
R001229,9,9.91,discount bundles make me more willing to buy,3
R001230,7,6.87,I compare price across platforms before purchase,1
R001231,8,9.17,livestream promotion helps me discover new products,4
R001232,7,8.03,I compare price across platforms before purchase,1
R001233,5,6.27,discount bundles make me more willing to buy,3
R001234,10,10.0,I prefer brands with recyclable packaging,5
R001235,10,9.72,discount bundles make me more willing to buy,3
R001236,5,5.9,discount bundles make me more willing to buy,3
R001237,8,7.85,offline availability is not always convenient,5
R001238,6,6.16,the price feels high without promotion,4
R001239,9,9.3,stockouts make me switch to other brands,3
R001240,9,10.0,delivery speed affects whether I choose the brand,5
R001241,10,9.97,KOL reviews are useful but need to be authentic,5
R001242,7,9.62,delivery speed affects whether I choose the brand,5
R001243,9,8.85,the price feels high without promotion,4
R001244,9,10.0,quality improvement would make me repurchase more often,0
R001245,9,10.0,portable packaging is useful for work and travel,5
R001246,9,7.91,the product quality is stable and trustworthy,0
R001247,8,8.47,the product quality is stable and trustworthy,0
R001248,7,6.88,I compare price across platforms before purchase,1
R001249,10,9.36,the package design should show product benefits more clearly,2
R001250,10,9.38,sustainability claims need to be more credible,5
R001251,10,10.0,the packaging is convenient but could look more premium,5
R001252,5,5.35,I care about ingredients and product safety,2
R001253,9,8.19,quality improvement would make me repurchase more often,0
R001254,10,9.44,the price feels high without promotion,4
R001255,4,5.46,portable packaging is useful for work and travel,5
R001256,8,8.76,low carbon packaging would improve brand impression,5
R001257,9,7.72,offline availability is not always convenient,5
R001258,9,8.09,I care about ingredients and product safety,2
R001259,7,9.06,I compare price across platforms before purchase,1
R001260,10,9.88,KOL reviews are useful but need to be authentic,5
R001261,8,7.8,discount bundles make me more willing to buy,3
R001262,8,9.36,the product quality is stable and trustworthy,0
R001263,10,10.0,offline availability is not always convenient,5
R001264,8,8.82,the product quality is stable and trustworthy,0
R001265,6,6.17,I care about ingredients and product safety,2
R001266,9,10.0,KOL reviews are useful but need to be authentic,5
R001267,9,10.0,I compare price across platforms before purchase,1
R001268,9,9.92,stockouts make me switch to other brands,3
R001269,8,8.46,the product quality is stable and trustworthy,0
R001270,10,10.0,quality improvement would make me repurchase more often,0
R001271,9,10.0,stockouts make me switch to other brands,3
R001272,10,8.47,I compare price across platforms before purchase,1
R001273,7,7.47,KOL reviews are useful but need to be authentic,5
R001274,9,10.0,the price feels high without promotion,4
R001275,10,8.35,the packaging is convenient but could look more premium,5
R001276,9,8.76,low carbon packaging would improve brand impression,5
R001277,5,6.19,quality improvement would make me repurchase more often,0
R001278,7,8.46,livestream promotion helps me discover new products,4
R001279,7,7.63,discount bundles make me more willing to buy,3
R001280,10,9.08,membership coupons can increase repeat purchase,1
R001281,9,9.84,membership coupons can increase repeat purchase,1
R001282,9,9.41,the package design should show product benefits more clearly,2
R001283,6,7.3,I care about ingredients and product safety,2
R001284,9,9.85,livestream promotion helps me discover new products,4
R001285,3,6.08,membership coupons can increase repeat purchase,1
R001286,9,8.39,livestream promotion helps me discover new products,4
R001287,10,10.0,I care about ingredients and product safety,2
R001288,7,7.68,the price feels high without promotion,4
R001289,9,8.87,livestream promotion helps me discover new products,4
R001290,4,6.81,livestream promotion helps me discover new products,4
R001291,10,9.99,membership coupons can increase repeat purchase,1
R001292,9,9.67,I care about ingredients and product safety,2
R001293,6,7.06,livestream promotion helps me discover new products,4
R001294,9,9.31,portable packaging is useful for work and travel,5
R001295,10,8.59,offline availability is not always convenient,5
R001296,6,7.96,stockouts make me switch to other brands,3
R001297,6,8.55,I compare price across platforms before purchase,1
R001298,10,9.47,the product quality is stable and trustworthy,0
R001299,9,10.0,stockouts make me switch to other brands,3
R001300,9,7.56,the product quality is stable and trustworthy,0
R001301,8,8.73,the packaging is convenient but could look more premium,5
R001302,10,10.0,membership coupons can increase repeat purchase,1
R001303,6,6.11,the price feels high without promotion,4
R001304,8,6.58,livestream promotion helps me discover new products,4
R001305,9,9.19,membership coupons can increase repeat purchase,1
R001306,8,6.35,I prefer brands with recyclable packaging,5
R001307,10,9.13,portable packaging is useful for work and travel,5
R001308,8,8.39,the product quality is stable and trustworthy,0
R001309,9,8.08,I care about ingredients and product safety,2
R001310,10,10.0,I care about ingredients and product safety,2
R001311,7,5.75,I compare price across platforms before purchase,1
R001312,7,8.11,the product quality is stable and trustworthy,0
R001313,7,7.33,stockouts make me switch to other brands,3
R001314,9,9.87,I prefer brands with recyclable packaging,5
R001315,4,5.54,stockouts make me switch to other brands,3
R001316,10,10.0,low carbon packaging would improve brand impression,5
R001317,8,7.94,the price feels high without promotion,4
R001318,9,7.99,quality improvement would make me repurchase more often,0
R001319,8,8.16,the packaging is convenient but could look more premium,5
R001320,7,8.55,I care about ingredients and product safety,2
R001321,9,9.47,portable packaging is useful for work and travel,5
R001322,9,8.0,portable packaging is useful for work and travel,5
R001323,10,9.37,offline availability is not always convenient,5
R001324,10,10.0,I compare price across platforms before purchase,1
R001325,8,7.89,the price feels high without promotion,4
R001326,6,6.54,the packaging is convenient but could look more premium,5
R001327,7,7.42,discount bundles make me more willing to buy,3
R001328,9,7.65,membership coupons can increase repeat purchase,1
R001329,9,8.74,I prefer brands with recyclable packaging,5
R001330,9,9.31,I care about ingredients and product safety,2
R001331,8,8.06,stockouts make me switch to other brands,3
R001332,7,7.66,livestream promotion helps me discover new products,4
R001333,4,6.68,the price feels high without promotion,4
R001334,9,10.0,stockouts make me switch to other brands,3
R001335,8,8.59,the price feels high without promotion,4
R001336,10,10.0,membership coupons can increase repeat purchase,1
R001337,10,9.44,offline availability is not always convenient,5
R001338,9,8.14,delivery speed affects whether I choose the brand,5
R001339,8,8.64,livestream promotion helps me discover new products,4
R001340,10,8.81,the price feels high without promotion,4
R001341,5,5.75,I care about ingredients and product safety,2
R001342,9,8.61,the product quality is stable and trustworthy,0
R001343,9,8.92,I care about ingredients and product safety,2
R001344,7,7.7,stockouts make me switch to other brands,3
R001345,10,9.22,membership coupons can increase repeat purchase,1
R001346,9,8.86,the package design should show product benefits more clearly,2
R001347,10,10.0,discount bundles make me more willing to buy,3
R001348,8,7.27,discount bundles make me more willing to buy,3
R001349,4,4.26,KOL reviews are useful but need to be authentic,5
R001350,10,10.0,the package design should show product benefits more clearly,2
R001351,6,7.01,livestream promotion helps me discover new products,4
R001352,5,6.23,delivery speed affects whether I choose the brand,5
R001353,6,7.19,I prefer brands with recyclable packaging,5
R001354,7,6.27,I compare price across platforms before purchase,1
R001355,7,7.35,discount bundles make me more willing to buy,3
R001356,9,10.0,sustainability claims need to be more credible,5
R001357,10,10.0,stockouts make me switch to other brands,3
R001358,10,10.0,quality improvement would make me repurchase more often,0
R001359,10,9.87,the package design should show product benefits more clearly,2
R001360,10,10.0,low carbon packaging would improve brand impression,5
R001361,6,7.86,livestream promotion helps me discover new products,4
R001362,8,10.0,the product quality is stable and trustworthy,0
R001363,8,6.48,offline availability is not always convenient,5
R001364,9,8.32,stockouts make me switch to other brands,3
R001365,9,9.62,I compare price across platforms before purchase,1
R001366,5,7.76,portable packaging is useful for work and travel,5
R001367,6,7.41,portable packaging is useful for work and travel,5
R001368,8,7.16,the product quality is stable and trustworthy,0
R001369,9,7.39,I compare price across platforms before purchase,1
R001370,9,9.7,portable packaging is useful for work and travel,5
R001371,7,6.94,offline availability is not always convenient,5
R001372,9,8.47,membership coupons can increase repeat purchase,1
R001373,3,4.4,the price feels high without promotion,4
R001374,9,9.27,portable packaging is useful for work and travel,5
R001375,7,8.49,KOL reviews are useful but need to be authentic,5
R001376,7,7.77,portable packaging is useful for work and travel,5
R001377,8,8.73,offline availability is not always convenient,5
R001378,10,9.5,the package design should show product benefits more clearly,2
R001379,4,6.89,membership coupons can increase repeat purchase,1
R001380,4,4.99,portable packaging is useful for work and travel,5
R001381,10,9.62,stockouts make me switch to other brands,3
R001382,10,10.0,I compare price across platforms before purchase,1
R001383,10,8.14,I compare price across platforms before purchase,1
R001384,10,10.0,the package design should show product benefits more clearly,2
R001385,7,9.23,quality improvement would make me repurchase more often,0
R001386,7,8.31,quality improvement would make me repurchase more often,0
R001387,9,8.72,delivery speed affects whether I choose the brand,5
R001388,8,8.07,delivery speed affects whether I choose the brand,5
R001389,8,7.98,quality improvement would make me repurchase more often,0
R001390,10,9.93,portable packaging is useful for work and travel,5
R001391,7,7.42,sustainability claims need to be more credible,5
R001392,7,7.76,livestream promotion helps me discover new products,4
R001393,3,6.4,the package design should show product benefits more clearly,2
R001394,4,7.02,membership coupons can increase repeat purchase,1
R001395,8,7.05,the package design should show product benefits more clearly,2
R001396,7,8.31,sustainability claims need to be more credible,5
R001397,10,8.47,offline availability is not always convenient,5
R001398,10,10.0,sustainability claims need to be more credible,5
R001399,10,9.49,delivery speed affects whether I choose the brand,5
R001400,7,8.56,I care about ingredients and product safety,2
R001401,10,9.68,the packaging is convenient but could look more premium,5
R001402,9,7.22,low carbon packaging would improve brand impression,5
R001403,10,9.59,sustainability claims need to be more credible,5
R001404,4,3.99,KOL reviews are useful but need to be authentic,5
R001405,9,10.0,delivery speed affects whether I choose the brand,5
R001406,3,5.9,discount bundles make me more willing to buy,3
R001407,10,10.0,the package design should show product benefits more clearly,2
R001408,9,9.18,quality improvement would make me repurchase more often,0
R001409,9,9.48,I care about ingredients and product safety,2
R001410,10,10.0,offline availability is not always convenient,5
R001411,9,6.81,I compare price across platforms before purchase,1
R001412,10,10.0,the product quality is stable and trustworthy,0
R001413,7,6.47,the product quality is stable and trustworthy,0
R001414,9,10.0,delivery speed affects whether I choose the brand,5
R001415,9,9.88,offline availability is not always convenient,5
R001416,8,8.23,I prefer brands with recyclable packaging,5
R001417,8,8.94,the product quality is stable and trustworthy,0
R001418,9,10.0,I care about ingredients and product safety,2
R001419,9,8.57,the price feels high without promotion,4
R001420,10,7.75,portable packaging is useful for work and travel,5
R001421,6,7.29,the price feels high without promotion,4
R001422,9,8.97,delivery speed affects whether I choose the brand,5
R001423,8,9.02,sustainability claims need to be more credible,5
R001424,7,8.1,discount bundles make me more willing to buy,3
R001425,8,10.0,KOL reviews are useful but need to be authentic,5
R001426,9,7.82,the price feels high without promotion,4
R001427,8,10.0,delivery speed affects whether I choose the brand,5
R001428,6,7.25,I compare price across platforms before purchase,1
R001429,9,8.42,sustainability claims need to be more credible,5
R001430,7,6.7,the price feels high without promotion,4
R001431,7,6.89,livestream promotion helps me discover new products,4
R001432,4,6.47,sustainability claims need to be more credible,5
R001433,10,8.14,delivery speed affects whether I choose the brand,5
R001434,5,5.76,I compare price across platforms before purchase,1
R001435,9,8.89,I compare price across platforms before purchase,1
R001436,7,5.44,the product quality is stable and trustworthy,0
R001437,7,7.51,I care about ingredients and product safety,2
R001438,6,7.0,low carbon packaging would improve brand impression,5
R001439,9,10.0,the product quality is stable and trustworthy,0
R001440,9,7.98,discount bundles make me more willing to buy,3
R001441,9,6.21,the price feels high without promotion,4
R001442,4,5.41,I care about ingredients and product safety,2
R001443,5,6.29,membership coupons can increase repeat purchase,1
R001444,9,8.59,KOL reviews are useful but need to be authentic,5
R001445,10,10.0,membership coupons can increase repeat purchase,1
R001446,10,10.0,delivery speed affects whether I choose the brand,5
R001447,8,7.37,delivery speed affects whether I choose the brand,5
R001448,10,9.72,delivery speed affects whether I choose the brand,5
R001449,5,7.57,KOL reviews are useful but need to be authentic,5
R001450,10,9.93,the package design should show product benefits more clearly,2
R001451,10,8.43,offline availability is not always convenient,5
R001452,10,9.83,the package design should show product benefits more clearly,2
R001453,10,8.98,the product quality is stable and trustworthy,0
R001454,6,5.7,I care about ingredients and product safety,2
R001455,8,8.17,discount bundles make me more willing to buy,3
R001456,3,6.36,the packaging is convenient but could look more premium,5
R001457,8,8.82,portable packaging is useful for work and travel,5
R001458,10,8.27,low carbon packaging would improve brand impression,5
R001459,10,8.31,the package design should show product benefits more clearly,2
R001460,8,9.29,the price feels high without promotion,4
R001461,7,8.8,KOL reviews are useful but need to be authentic,5
R001462,8,7.43,livestream promotion helps me discover new products,4
R001463,10,8.94,I compare price across platforms before purchase,1
R001464,10,10.0,quality improvement would make me repurchase more often,0
R001465,9,9.33,low carbon packaging would improve brand impression,5
R001466,8,7.23,I compare price across platforms before purchase,1
R001467,6,5.92,I compare price across platforms before purchase,1
R001468,5,7.04,discount bundles make me more willing to buy,3
R001469,6,8.2,I compare price across platforms before purchase,1
R001470,10,9.11,I care about ingredients and product safety,2
R001471,10,9.65,offline availability is not always convenient,5
R001472,8,8.0,offline availability is not always convenient,5
R001473,4,5.84,discount bundles make me more willing to buy,3
R001474,7,8.4,I compare price across platforms before purchase,1
R001475,10,10.0,quality improvement would make me repurchase more often,0
R001476,10,9.91,I care about ingredients and product safety,2
R001477,7,8.16,livestream promotion helps me discover new products,4
R001478,9,10.0,low carbon packaging would improve brand impression,5
R001479,10,10.0,portable packaging is useful for work and travel,5
R001480,10,8.14,I care about ingredients and product safety,2
R001481,9,7.6,quality improvement would make me repurchase more often,0
R001482,9,7.25,membership coupons can increase repeat purchase,1
R001483,10,10.0,livestream promotion helps me discover new products,4
R001484,5,5.94,the price feels high without promotion,4
R001485,10,9.81,stockouts make me switch to other brands,3
R001486,8,7.42,discount bundles make me more willing to buy,3
R001487,6,7.6,offline availability is not always convenient,5
R001488,9,9.13,sustainability claims need to be more credible,5
R001489,7,8.57,stockouts make me switch to other brands,3
R001490,10,10.0,the package design should show product benefits more clearly,2
R001491,8,8.64,membership coupons can increase repeat purchase,1
R001492,10,9.53,the package design should show product benefits more clearly,2
R001493,10,9.19,membership coupons can increase repeat purchase,1
R001494,10,9.34,sustainability claims need to be more credible,5
R001495,9,8.72,discount bundles make me more willing to buy,3
R001496,9,10.0,I prefer brands with recyclable packaging,5
R001497,7,8.07,stockouts make me switch to other brands,3
R001498,7,9.23,low carbon packaging would improve brand impression,5
R001499,8,9.45,KOL reviews are useful but need to be authentic,5
R001500,8,8.02,offline availability is not always convenient,5
R001501,6,6.43,quality improvement would make me repurchase more often,0
R001502,5,6.72,the product quality is stable and trustworthy,0
R001503,9,9.41,membership coupons can increase repeat purchase,1
R001504,9,9.02,the product quality is stable and trustworthy,0
R001505,10,9.07,the product quality is stable and trustworthy,0
R001506,9,8.21,the product quality is stable and trustworthy,0
R001507,10,9.57,I prefer brands with recyclable packaging,5
R001508,9,8.52,portable packaging is useful for work and travel,5
R001509,9,8.96,stockouts make me switch to other brands,3
R001510,7,6.99,discount bundles make me more willing to buy,3
R001511,9,8.82,the packaging is convenient but could look more premium,5
R001512,7,7.89,the packaging is convenient but could look more premium,5
R001513,7,6.37,quality improvement would make me repurchase more often,0
R001514,10,10.0,membership coupons can increase repeat purchase,1
R001515,10,8.6,I compare price across platforms before purchase,1
R001516,7,7.41,discount bundles make me more willing to buy,3
R001517,10,10.0,stockouts make me switch to other brands,3
R001518,9,10.0,quality improvement would make me repurchase more often,0
R001519,9,9.14,the product quality is stable and trustworthy,0
R001520,6,5.51,discount bundles make me more willing to buy,3
R001521,4,5.41,I compare price across platforms before purchase,1
R001522,7,7.72,I compare price across platforms before purchase,1
R001523,8,8.92,the price feels high without promotion,4
R001524,7,9.05,the product quality is stable and trustworthy,0
R001525,9,9.34,sustainability claims need to be more credible,5
R001526,5,7.45,delivery speed affects whether I choose the brand,5
R001527,10,10.0,the product quality is stable and trustworthy,0
R001528,7,8.58,offline availability is not always convenient,5
R001529,7,9.16,offline availability is not always convenient,5
R001530,8,7.76,livestream promotion helps me discover new products,4
R001531,8,9.07,quality improvement would make me repurchase more often,0
R001532,9,8.6,KOL reviews are useful but need to be authentic,5
R001533,8,7.44,membership coupons can increase repeat purchase,1
R001534,10,8.8,the price feels high without promotion,4
R001535,10,9.38,membership coupons can increase repeat purchase,1
R001536,9,8.21,the product quality is stable and trustworthy,0
R001537,8,7.3,discount bundles make me more willing to buy,3
R001538,10,9.21,stockouts make me switch to other brands,3
R001539,7,7.26,portable packaging is useful for work and travel,5
R001540,6,6.11,the packaging is convenient but could look more premium,5
R001541,10,10.0,membership coupons can increase repeat purchase,1
R001542,7,7.61,quality improvement would make me repurchase more often,0
R001543,4,5.72,I compare price across platforms before purchase,1
R001544,10,10.0,the price feels high without promotion,4
R001545,6,7.09,livestream promotion helps me discover new products,4
R001546,6,7.44,stockouts make me switch to other brands,3
R001547,10,10.0,the product quality is stable and trustworthy,0
R001548,9,7.95,offline availability is not always convenient,5
R001549,8,7.04,membership coupons can increase repeat purchase,1
R001550,6,7.96,discount bundles make me more willing to buy,3
R001551,10,9.19,delivery speed affects whether I choose the brand,5
R001552,7,7.43,the price feels high without promotion,4
R001553,8,9.08,sustainability claims need to be more credible,5
R001554,10,9.95,quality improvement would make me repurchase more often,0
R001555,8,10.0,the package design should show product benefits more clearly,2
R001556,6,6.34,the product quality is stable and trustworthy,0
R001557,3,6.65,I compare price across platforms before purchase,1
R001558,7,7.92,membership coupons can increase repeat purchase,1
R001559,7,7.69,I prefer brands with recyclable packaging,5
R001560,10,8.67,portable packaging is useful for work and travel,5
R001561,7,7.53,I compare price across platforms before purchase,1
R001562,10,9.64,KOL reviews are useful but need to be authentic,5
R001563,6,7.17,discount bundles make me more willing to buy,3
R001564,10,10.0,sustainability claims need to be more credible,5
R001565,5,5.27,KOL reviews are useful but need to be authentic,5
R001566,6,6.94,quality improvement would make me repurchase more often,0
R001567,10,9.63,portable packaging is useful for work and travel,5
R001568,9,7.99,discount bundles make me more willing to buy,3
R001569,8,10.0,offline availability is not always convenient,5
R001570,6,7.27,the price feels high without promotion,4
R001571,9,9.99,low carbon packaging would improve brand impression,5
R001572,7,7.08,low carbon packaging would improve brand impression,5
